type,key_word,categorie
1,ukraine,war
1,russia,war
1,movie,art
1,biden,politics
1,putin,politics
1,trump,politics
1,abortion,health
1,phone,technologie
1,pixel,technologie
1,hardware,technologie
1,vaccination,health
1,covid,health
1,zelensky,war
1,alqaeda,terrorism
1,sept 11,terrorism
1,bin laden,terrorism
1,baseball,sport
1,basketball,sport
1,football,sport
1,major league,sport
1,student,politics
1,gun,terrorism
1,facebook,technologie
1,kill,technologie
1,antimask,politics
1,cuba,politics
1,spain,politics
1,germany,politics
1,portugal,politics
1,england,politics
1,china,politics
1,japan,politics
1,france,politics
1,marine le pen,politics
1,macrom,politics
1,semiconductors,technologie
1,pension,politics
1,assault,terrorism
1,vaccine,health
1,test,health
1,mortality,health
1,finance,financial
1,tax,financial
1,nato,war
1,politics,politics
1,technologie,technologie
1,health,health
1,war,war
1,sport,sport
1,immigration,politics
1,mobile,technologie
1,5g,technologie
1,massacre,terrorism
1,police,politics
1,diplomat,politics
1,republic,politics
1,democracy,politics
1,democrat,politics
1,feminism,politics
1,eeuu,politics
1,america,politics
1,south america,politics
1,congress,politics
1,president,politics
1,coronavirus,health
1,armed,war
1,chip,technologie
1,computer,technologie
1,vr,technologie
1,artificial intelligence,technologie
1,blockchain,technologie
1,macbook,technologie
1,elon,technologie
1,musk,technologie
1,fuel,energy
1,light,energy
1,oil,energy
1,nuclear,energy
1,gas,energy
1,energy,energy
1,carbon,energy
1,coal,energy
1,renewable,energy
1,solar,energy
1,wind,energy
1,fision,energy